rank,hostname,cpu,affinity,gpu_id,pci_bus_id,status,small_bytes,large_bytes,iters,h2d_lat_min_us,h2d_lat_median_us,h2d_lat_mean_us,d2h_lat_min_us,d2h_lat_median_us,d2h_lat_mean_us,h2d_bw_median_gbps,d2h_bw_median_gbps
21,"n23g0012.hpc.itc.rwth-aachen.de",21,"21",1,0000:2c:00.0,"OK",4096,16777216,20,11.148,11.829,11.8381,11.37,11.7735,11.7601,10.3341,13.555
21,"n23g0012.hpc.itc.rwth-aachen.de",21,"21",2,0000:9d:00.0,"OK",4096,16777216,20,12.189,12.6445,12.7093,12.141,12.579,13.5256,19.0462,9.75184
21,"n23g0012.hpc.itc.rwth-aachen.de",21,"21",3,0000:ad:00.0,"OK",4096,16777216,20,12.077,12.5405,12.5732,12.497,12.8665,12.8785,18.7084,9.29914
22,"n23g0012.hpc.itc.rwth-aachen.de",22,"22",0,0000:1b:00.0,"OK",4096,16777216,20,10.752,11.469,12.1848,10.969,11.492,11.4396,14.6662,14.9356
22,"n23g0012.hpc.itc.rwth-aachen.de",22,"22",1,0000:2c:00.0,"OK",4096,16777216,20,11.125,11.7965,11.7833,11.118,11.5915,12.3936,10.3334,13.5889
22,"n23g0012.hpc.itc.rwth-aachen.de",22,"22",2,0000:9d:00.0,"OK",4096,16777216,20,12.103,12.473,13.3536,12.012,12.6515,12.6414,18.7074,9.24639
22,"n23g0012.hpc.itc.rwth-aachen.de",22,"22",3,0000:ad:00.0,"OK",4096,16777216,20,12.199,12.893,12.8598,12.481,12.953,12.9135,18.8445,9.39532
23,"n23g0012.hpc.itc.rwth-aachen.de",23,"23",0,0000:1b:00.0,"OK",4096,16777216,20,10.753,11.5825,11.5164,11.121,11.5465,11.5404,14.6619,14.5051
23,"n23g0012.hpc.itc.rwth-aachen.de",23,"23",1,0000:2c:00.0,"OK",4096,16777216,20,11.405,11.929,11.9445,11.483,11.8525,12.1224,10.3375,13.6146
23,"n23g0012.hpc.itc.rwth-aachen.de",23,"23",2,0000:9d:00.0,"OK",4096,16777216,20,12.198,12.721,12.7441,12.042,12.666,13.1842,19.0396,8.97457
23,"n23g0012.hpc.itc.rwth-aachen.de",23,"23",3,0000:ad:00.0,"OK",4096,16777216,20,12.108,12.788,13.5015,12.401,12.8345,13.5922,18.6328,10.0263
24,"n23g0012.hpc.itc.rwth-aachen.de",24,"24",0,0000:1b:00.0,"OK",4096,16777216,20,10.886,11.3685,11.4261,11.406,11.654,11.6675,12.7125,11.3611
24,"n23g0012.hpc.itc.rwth-aachen.de",24,"24",1,0000:2c:00.0,"OK",4096,16777216,20,11.323,11.688,11.7464,11.415,11.9055,11.9067,19.1123,16.1452
24,"n23g0012.hpc.itc.rwth-aachen.de",24,"24",2,0000:9d:00.0,"OK",4096,16777216,20,12.064,12.7185,13.2191,12.309,12.741,12.7855,19.303,8.98287
24,"n23g0012.hpc.itc.rwth-aachen.de",24,"24",3,0000:ad:00.0,"OK",4096,16777216,20,12.364,12.8145,12.8238,12.523,12.952,13.5707,19.4704,9.13078
25,"n23g0012.hpc.itc.rwth-aachen.de",25,"25",0,0000:1b:00.0,"OK",4096,16777216,20,11.27,11.603,11.7134,11.277,11.7,11.6933,12.7746,11.4602
25,"n23g0012.hpc.itc.rwth-aachen.de",25,"25",1,0000:2c:00.0,"OK",4096,16777216,20,11.04,11.4875,12.3422,11.227,11.742,11.7259,19.1556,16.5601
25,"n23g0012.hpc.itc.rwth-aachen.de",25,"25",2,0000:9d:00.0,"OK",4096,16777216,20,12.315,12.74,12.7306,12.419,12.9095,12.9,18.6348,8.85057
25,"n23g0012.hpc.itc.rwth-aachen.de",25,"25",3,0000:ad:00.0,"OK",4096,16777216,20,12.362,13.1755,13.0344,12.588,13.1215,13.0904,18.5993,8.70233
26,"n23g0012.hpc.itc.rwth-aachen.de",26,"26",0,0000:1b:00.0,"OK",4096,16777216,20,11.37,11.7295,11.8028,11.513,11.8675,12.2838,12.6797,11.4691
26,"n23g0012.hpc.itc.rwth-aachen.de",26,"26",1,0000:2c:00.0,"OK",4096,16777216,20,11.182,11.8815,11.7965,11.343,11.9195,11.941,19.203,16.5808
26,"n23g0012.hpc.itc.rwth-aachen.de",26,"26",2,0000:9d:00.0,"OK",4096,16777216,20,12.358,12.918,13.3605,12.33,12.8325,12.8562,19.0217,8.86291
26,"n23g0012.hpc.itc.rwth-aachen.de",26,"26",3,0000:ad:00.0,"OK",4096,16777216,20,12.532,13.1015,13.1563,12.744,13.186,13.172,18.9914,8.67567
27,"n23g0012.hpc.itc.rwth-aachen.de",27,"27",0,0000:1b:00.0,"OK",4096,16777216,20,10.858,11.5885,11.6385,11.52,11.7625,12.1785,12.7394,11.4965
27,"n23g0012.hpc.itc.rwth-aachen.de",27,"27",1,0000:2c:00.0,"OK",4096,16777216,20,11.307,11.6425,11.7218,11.495,11.9425,11.9406,19.154,16.346
27,"n23g0012.hpc.itc.rwth-aachen.de",27,"27",2,0000:9d:00.0,"OK",4096,16777216,20,12.366,12.7515,12.8153,12.555,12.858,13.6709,18.759,8.90722
27,"n23g0012.hpc.itc.rwth-aachen.de",27,"27",3,0000:ad:00.0,"OK",4096,16777216,20,12.608,13.075,13.9485,12.804,13.2355,13.2491,18.7924,8.71382
