rank_i,host_i,cpu_i,affinity_i,rank_j,host_j,cpu_j,affinity_j,small_bytes,large_bytes,warmup,iters,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gbps,bandwidth_mean_gbps
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",78,"n23m0350.hpc.itc.rwth-aachen.de",78,"78",64,6220800,5,10,0.5635,1.0193,1.10975,1.2705,11.9177,11.99
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",79,"n23m0350.hpc.itc.rwth-aachen.de",79,"79",64,6220800,5,10,0.5425,0.9302,0.895,1.442,12.2758,12.3547
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",80,"n23m0350.hpc.itc.rwth-aachen.de",80,"80",64,6220800,5,10,0.5285,1.15315,0.9275,3.5175,12.3056,12.3745
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",81,"n23m0350.hpc.itc.rwth-aachen.de",81,"81",64,6220800,5,10,0.631,0.9396,0.82625,1.615,11.8983,11.9908
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",82,"n23m0350.hpc.itc.rwth-aachen.de",82,"82",64,6220800,5,10,0.7085,0.9014,0.84125,1.141,12.3806,12.4076
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",83,"n23m0350.hpc.itc.rwth-aachen.de",83,"83",64,6220800,5,10,0.511,0.9629,0.947,1.2995,12.0477,12.0522
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",84,"n23m0350.hpc.itc.rwth-aachen.de",84,"84",64,6220800,5,10,0.641,0.89725,0.85525,1.163,12.4428,12.4063
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",85,"n23m0350.hpc.itc.rwth-aachen.de",85,"85",64,6220800,5,10,0.6755,1.3604,1.13175,3.7695,12.4629,12.4449
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",86,"n23m0350.hpc.itc.rwth-aachen.de",86,"86",64,6220800,5,10,0.4815,0.9577,0.9705,1.464,12.0707,12.0709
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",87,"n23m0350.hpc.itc.rwth-aachen.de",87,"87",64,6220800,5,10,0.432,0.94525,0.891,1.3555,12.0173,12.0465
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",88,"n23m0350.hpc.itc.rwth-aachen.de",88,"88",64,6220800,5,10,0.631,1.08985,1.16825,1.398,12.3575,12.4449
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",89,"n23m0350.hpc.itc.rwth-aachen.de",89,"89",64,6220800,5,10,0.781,0.9828,0.92725,1.251,11.6742,11.7697
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",90,"n23m0350.hpc.itc.rwth-aachen.de",90,"90",64,6220800,5,10,0.7045,1.2126,1.112,3.161,12.4076,12.4621
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",91,"n23m0350.hpc.itc.rwth-aachen.de",91,"91",64,6220800,5,10,0.565,1.0331,1.1205,1.29,12.0374,12.0496
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",92,"n23m0350.hpc.itc.rwth-aachen.de",92,"92",64,6220800,5,10,0.9035,1.17345,1.16325,1.403,11.7023,11.797
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",93,"n23m0350.hpc.itc.rwth-aachen.de",93,"93",64,6220800,5,10,0.6515,1.0562,1.1315,1.277,12.3835,12.3839
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",94,"n23m0350.hpc.itc.rwth-aachen.de",94,"94",64,6220800,5,10,0.3905,1.17175,0.92225,4.0025,12.4786,12.451
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",95,"n23m0350.hpc.itc.rwth-aachen.de",95,"95",64,6220800,5,10,0.732,1.0242,1.06175,1.408,12.1114,12.0504
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",2,"n23m0350.hpc.itc.rwth-aachen.de",2,"2",64,6220800,5,10,0.17,0.2214,0.1865,0.4295,11.4771,11.4892
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",3,"n23m0350.hpc.itc.rwth-aachen.de",3,"3",64,6220800,5,10,0.1795,0.2127,0.19625,0.2985,11.3547,11.3878
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",4,"n23m0350.hpc.itc.rwth-aachen.de",4,"4",64,6220800,5,10,0.176,0.2507,0.23125,0.4065,11.6028,11.5712
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",5,"n23m0350.hpc.itc.rwth-aachen.de",5,"5",64,6220800,5,10,0.1675,0.24115,0.203,0.5655,11.5155,11.4807
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",6,"n23m0350.hpc.itc.rwth-aachen.de",6,"6",64,6220800,5,10,0.1865,0.2666,0.25275,0.447,11.1404,11.1352
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",7,"n23m0350.hpc.itc.rwth-aachen.de",7,"7",64,6220800,5,10,0.1865,0.2886,0.25775,0.4875,11.2683,11.2741
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",8,"n23m0350.hpc.itc.rwth-aachen.de",8,"8",64,6220800,5,10,0.1865,0.1933,0.19225,0.203,11.6424,11.6243
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",9,"n23m0350.hpc.itc.rwth-aachen.de",9,"9",64,6220800,5,10,0.1735,0.2981,0.20275,0.6745,11.2168,11.2777
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",10,"n23m0350.hpc.itc.rwth-aachen.de",10,"10",64,6220800,5,10,0.1875,0.2964,0.25925,0.491,11.1663,11.1786
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",11,"n23m0350.hpc.itc.rwth-aachen.de",11,"11",64,6220800,5,10,0.1845,0.28375,0.22725,0.5765,11.3549,11.4249
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",12,"n23m0350.hpc.itc.rwth-aachen.de",12,"12",64,6220800,5,10,0.203,0.2166,0.20825,0.2945,11.3133,11.4043
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",13,"n23m0350.hpc.itc.rwth-aachen.de",13,"13",64,6220800,5,10,0.204,0.2652,0.2145,0.4945,11.7921,11.5877
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",14,"n23m0350.hpc.itc.rwth-aachen.de",14,"14",64,6220800,5,10,0.199,0.2551,0.27525,0.308,11.4753,11.4672
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",15,"n23m0350.hpc.itc.rwth-aachen.de",15,"15",64,6220800,5,10,0.216,0.30705,0.288,0.498,11.19,11.3457
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",16,"n23m0350.hpc.itc.rwth-aachen.de",16,"16",64,6220800,5,10,0.198,0.2028,0.2035,0.207,11.474,11.451
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",17,"n23m0350.hpc.itc.rwth-aachen.de",17,"17",64,6220800,5,10,0.212,0.2759,0.2875,0.3215,11.7473,11.6996
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",18,"n23m0350.hpc.itc.rwth-aachen.de",18,"18",64,6220800,5,10,0.206,0.22845,0.21575,0.3095,11.7146,11.6618
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",19,"n23m0350.hpc.itc.rwth-aachen.de",19,"19",64,6220800,5,10,0.2015,0.23365,0.21625,0.2955,10.217,10.2123
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",20,"n23m0350.hpc.itc.rwth-aachen.de",20,"20",64,6220800,5,10,0.2275,0.25205,0.234,0.3545,10.0791,10.1195
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",21,"n23m0350.hpc.itc.rwth-aachen.de",21,"21",64,6220800,5,10,0.2355,0.25605,0.2495,0.301,10.513,10.4879
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",22,"n23m0350.hpc.itc.rwth-aachen.de",22,"22",64,6220800,5,10,0.241,0.2746,0.25875,0.3535,10.2705,10.2677
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",23,"n23m0350.hpc.itc.rwth-aachen.de",23,"23",64,6220800,5,10,0.25,0.2581,0.25775,0.266,8.98974,8.83635
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",24,"n23m0350.hpc.itc.rwth-aachen.de",24,"24",64,6220800,5,10,0.2815,0.3265,0.29325,0.581,9.0422,9.06186
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",25,"n23m0350.hpc.itc.rwth-aachen.de",25,"25",64,6220800,5,10,0.28,0.38035,0.394,0.4105,9.62191,9.61136
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",26,"n23m0350.hpc.itc.rwth-aachen.de",26,"26",64,6220800,5,10,0.2615,0.3515,0.299,0.6515,9.41768,9.43142
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",27,"n23m0350.hpc.itc.rwth-aachen.de",27,"27",64,6220800,5,10,0.2465,0.266,0.261,0.3125,10.1285,10
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",28,"n23m0350.hpc.itc.rwth-aachen.de",28,"28",64,6220800,5,10,0.2305,0.2803,0.2415,0.4685,10.9357,10.9184
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",29,"n23m0350.hpc.itc.rwth-aachen.de",29,"29",64,6220800,5,10,0.2325,0.2899,0.25425,0.37,10.8688,10.8627
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",30,"n23m0350.hpc.itc.rwth-aachen.de",30,"30",64,6220800,5,10,0.239,0.3465,0.3365,0.581,10.5879,10.5716
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",31,"n23m0350.hpc.itc.rwth-aachen.de",31,"31",64,6220800,5,10,0.2465,0.32285,0.337,0.353,10.843,10.8055
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",32,"n23m0350.hpc.itc.rwth-aachen.de",32,"32",64,6220800,5,10,0.25,0.3678,0.35125,0.5915,10.4342,10.4501
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",33,"n23m0350.hpc.itc.rwth-aachen.de",33,"33",64,6220800,5,10,0.248,0.3196,0.26025,0.5205,10.8792,10.8398
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",34,"n23m0350.hpc.itc.rwth-aachen.de",34,"34",64,6220800,5,10,0.2375,0.2992,0.2435,0.606,10.745,10.7348
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",35,"n23m0350.hpc.itc.rwth-aachen.de",35,"35",64,6220800,5,10,0.2435,0.35745,0.25825,0.6795,10.4335,10.4249
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",36,"n23m0350.hpc.itc.rwth-aachen.de",36,"36",64,6220800,5,10,0.261,0.3853,0.402,0.559,9.6525,9.63824
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",37,"n23m0350.hpc.itc.rwth-aachen.de",37,"37",64,6220800,5,10,0.2715,0.32795,0.29025,0.632,9.07554,9.06822
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",38,"n23m0350.hpc.itc.rwth-aachen.de",38,"38",64,6220800,5,10,0.2885,0.3761,0.33525,0.621,8.64152,8.63453
1,"n23m0350.hpc.itc.rwth-aachen.de",1,"1",39,"n23m0350.hpc.itc.rwth-aachen.de",39,"39",64,6220800,5,10,0.279,0.4525,0.42675,0.7745,8.87913,8.80099
